Leaf_Length_cm,Leaf_Width_cm,Leaf_Shape,Leaf_Color,Leaf_Edge,Leaf_Texture,Tree_Species
8.25,9.75,2,3,0,0,Maple
6.94,5.78,2,2,0,2,Maple
6.12,9.85,3,1,1,1,Maple
7.09,5.92,3,1,1,0,Maple
8.59,6.46,2,2,1,2,Maple
8.74,8.93,2,3,2,0,Maple
6.28,8.04,0,0,2,1,Maple
11.69,9.83,1,1,0,1,Maple
6.59,8.42,2,3,2,0,Maple
11,5.87,0,3,1,1,Maple
8.55,6.04,3,1,0,2,Maple
11.05,7.25,1,1,1,2,Maple
11.53,5.44,2,3,0,1,Maple
7.95,6.94,1,2,0,1,Maple
11.79,8.04,0,0,0,2,Maple
6.99,5.08,0,3,0,2,Maple
10.89,8.53,2,2,0,2,Maple
6.44,6.79,0,3,2,0,Maple
9.74,6.65,3,2,2,1,Maple
7.95,8.65,3,1,2,2,Maple
8.83,5.6,1,2,0,0,Maple
9.37,8.85,2,2,0,2,Maple
8.57,5.13,0,2,2,2,Maple
8.85,7.82,3,1,0,2,Maple
9.63,7.7,0,3,0,2,Maple
7.74,5.81,1,1,0,1,Maple
9.8,9.36,3,3,1,1,Maple
9.24,9.04,3,0,2,1,Maple
6.66,6.14,1,0,0,0,Maple
7.83,5.82,2,0,1,0,Maple
10.15,6.35,3,2,2,1,Maple
7.31,7.79,3,0,1,0,Maple
7.52,6.23,2,1,2,0,Maple
6.89,9.99,2,0,1,1,Maple
8.47,5.17,3,0,0,2,Maple
10.08,7.65,1,3,1,2,Maple
10.03,8.81,2,0,2,1,Maple
8.21,8.16,1,1,2,2,Maple
6.54,9.18,3,2,1,0,Maple
11.15,6.63,3,2,1,2,Maple
10.86,6.74,2,3,0,0,Maple
8.39,7.59,3,0,2,0,Maple
6.68,9.62,1,1,2,2,Maple
9.96,9.09,0,3,0,1,Maple
11.98,9.83,0,0,2,2,Maple
9.71,3.05,3,3,2,1,Neem
13.24,3.93,2,0,1,1,Neem
7.07,2.3,2,0,0,1,Neem
8.29,3.65,1,2,0,0,Neem
8.41,2.05,1,0,2,2,Neem
12.26,3.7,3,2,2,1,Neem
9.12,2.73,1,1,0,2,Neem
14.14,3.89,1,0,1,0,Neem
11.62,3.48,0,3,0,2,Neem
11.58,4.31,3,0,1,0,Neem
9.24,4.65,3,0,0,0,Neem
10.43,4.9,2,3,0,2,Neem
9.45,2.57,0,3,2,1,Neem
11.45,4.81,1,2,1,1,Neem
11.92,4.97,1,2,2,1,Neem
14.02,4.22,0,0,2,1,Neem
9.88,2.88,2,1,2,1,Neem
13.94,4.74,1,2,0,0,Neem
8.55,2.21,1,3,1,2,Neem
9.7,3.13,1,3,2,2,Neem
7.29,3.4,2,1,0,1,Neem
11.73,2.09,3,1,1,2,Neem
9.88,2.38,0,3,0,0,Neem
10.66,4.53,3,3,1,2,Neem
12.6,2.42,3,0,1,1,Neem
9.58,4.39,2,2,1,2,Neem
9.01,2.55,1,2,2,0,Neem
12.51,2.17,1,0,2,1,Neem
8.92,2.28,0,3,0,0,Neem
12.11,3.55,3,2,0,1,Neem
12.84,2.14,1,3,2,0,Neem
7.96,3.03,3,0,2,0,Neem
9.49,4.94,0,3,1,1,Neem
10.93,3.42,0,1,1,0,Neem
10.19,3.85,0,3,1,2,Neem
7.12,4.8,3,0,0,0,Neem
8.3,2.21,2,1,0,2,Neem
13.41,4.03,2,3,0,0,Neem
13.49,4.46,3,2,0,0,Neem
12.21,2.62,0,0,2,1,Neem
7.15,2.28,2,2,0,1,Neem
9.55,4.53,1,1,1,2,Neem
9.25,2.35,0,1,0,2,Neem
14.02,4.21,0,0,0,1,Neem
10.39,3.71,2,0,2,1,Neem
9.5,6.9,2,1,0,0,Oak
12.08,7.7,2,0,1,0,Oak
11.21,6.48,0,1,0,2,Oak
8.6,4.27,0,0,2,0,Oak
9.92,8.75,3,3,2,1,Oak
11.79,6.24,2,3,0,2,Oak
9.28,8.73,3,0,2,0,Oak
13.59,8.87,1,2,1,0,Oak
12.42,6.73,2,1,2,0,Oak
12.57,7.09,0,1,2,1,Oak
12.21,4.36,1,2,1,1,Oak
8.49,4.42,2,3,0,0,Oak
